agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
PoG,WebQTest-62,1,4,3,1,0.8113349264372225,0.9288006111535522,0.6574387421182856,0.8571428571428572,0.6666666666666666,0.75,3,935,1351
PoG,WebQTest-63,1,4,3,1,0.7242811238676177,0.9655720629351457,0.4189342056989116,0.8571428571428572,0.6666666666666666,0.75,3,1887,3577
PoG,WebQTest-64,1,4,3,1,0.6693515370129035,0.6990741383614537,0.5848283214469524,0.7467532467532467,0.6666666666666666,0.75,2,1943,6139
PoG,WebQTest-65,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,4388
PoG,WebQTest-66,1,2,2,1,0.836989792141281,0.9474222365730277,0.6197242959568334,1.0,1.0,1.0,2,1956,4297
PoG,WebQTest-67,1,2,2,1,0.9486752268821512,0.9167710944026733,0.9492713264643089,1.0,1.0,1.0,2,1596,2872
PoG,WebQTest-68,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,944,1520
PoG,WebQTest-69,1,2,2,1,0.9377409975579798,0.9377220248667851,0.8945164865983787,1.0,1.0,1.0,2,563,841
PoG,WebQTest-71,1,5,4,1,0.6878644669513923,0.8702575216695535,0.41273071234478725,0.8565217391304348,0.75,0.8,3,881,2112
PoG,WebQTest-72,1,44,13,1,0.3403195025623319,0.3176818868153447,0.12024699437729837,0.8952772073921971,0.27906976744186046,0.29545454545454547,2,1261,3455
PoG,WebQTest-73,1,2,2,1,0.8659854118362244,0.8081632653061225,0.8411078717201166,1.0,1.0,1.0,2,49,56
PoG,WebQTest-74,1,2,2,1,0.9404629276361451,0.9655541805958292,0.8714180503481521,1.0,1.0,1.0,2,1867,3389
PoG,WebQTest-75,1,2,2,1,0.9254343517511402,0.9168386652906776,0.883536696412311,1.0,1.0,1.0,2,969,2399
PoG,WebQTest-76,1,122,53,1,0.39037793028178247,0.47322211007374254,0.16741254868178473,0.6818232507761433,0.4297520661157025,0.4344262295081967,8,1943,3819
PoG,WebQTest-77,1,2,2,1,0.80544964175479,0.9545910687405917,0.5377320622177622,1.0,1.0,1.0,2,1993,4688
PoG,WebQTest-78,1,2,2,1,0.9524966257403285,0.9092055485498108,0.96910104216492,1.0,1.0,1.0,2,1586,2851
PoG,WebQTest-79,0,2,2,1,0.9073836671613332,0.9524312099509985,0.795646437994723,1.0,1.0,1.0,2,1895,4323
PoG,WebQTest-80,1,4,2,1,0.7729143875096688,0.9643451390539576,0.45601539363115984,1.0,0.3333333333333333,0.5,2,1202,1935
PoG,WebQTest-82,1,8,5,1,0.6608343939476752,0.9124760269201597,0.3388598956656679,0.8250591016548464,0.5714285714285714,0.625,4,1923,4187
PoG,WebQTest-83,1,26,9,1,0.491186739401073,0.6591933385654417,0.15557153870238,0.9065729864633916,0.32,0.34615384615384615,4,1316,2882
PoG,WebQTest-84,1,18,10,1,0.4115709760108229,0.5445628353383665,0.12595370760576363,0.7895752895752897,0.5294117647058824,0.5555555555555556,3,1389,4941
PoG,WebQTest-85,0,86,25,1,0.1649881271790476,0.06240538529985117,0.04326490973356494,0.8720740337506805,0.29411764705882354,0.29069767441860467,2,1794,4201
PoG,WebQTest-86,1,2,2,1,0.8095045608030839,0.944524843222383,0.5559962318761434,1.0,1.0,1.0,2,1382,2372
PoG,WebQTest-87,1,72,37,1,0.3010888171383998,0.238296724590759,0.15786829799272908,0.7354007264165174,0.5070422535211268,0.5138888888888888,7,1973,3356
PoG,WebQTest-88,1,2,2,1,0.9583536709255068,0.9375648340248963,0.9528195770634404,1.0,1.0,1.0,2,1928,3516
PoG,WebQTest-89,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,520,1173
PoG,WebQTest-90,1,48,17,1,0.32690136612698484,0.31608063524142654,0.12572888494777434,0.7939861488559656,0.3404255319148936,0.3541666666666667,2,1121,1994
PoG,WebQTest-91,1,4,3,1,0.6167791940020849,0.6827349036339826,0.3736205777345018,0.9285714285714285,0.6666666666666666,0.75,2,1896,4523
PoG,WebQTest-93,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1980,3563
PoG,WebQTest-94,1,2,2,1,0.9428235973426397,0.9093038109431552,0.9412400683898219,1.0,1.0,1.0,2,854,1339
PoG,WebQTest-95,1,2,2,1,0.8644486825152777,0.9615788199208976,0.6748238644880827,1.0,1.0,1.0,2,1906,4474
PoG,WebQTest-96,1,2,2,1,0.9124167417710609,0.9375873515024459,0.8249242953645469,1.0,1.0,1.0,2,1431,3635
PoG,WebQTest-97,1,68,35,1,0.23182164282154652,0.1503290717045361,0.13814965514572974,0.6165372655996644,0.5074626865671642,0.5147058823529411,2,1389,3892
PoG,WebQTest-98,1,2,2,1,0.8151898775896769,0.9615789473684211,0.5545488721804511,1.0,1.0,1.0,2,1900,3980
