agent,qid,hits1,traj_len,n_unique,explored,AGEE,S,I,E,redundancy,usr,n_unique_comms,n_nodes,n_edges
ToG,WebQTest-59,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1149,1811
ToG,WebQTest-60,1,2,2,1,0.9112691441377597,0.9334089619965967,0.8262904140669314,1.0,1.0,1.0,2,1763,4438
ToG,WebQTest-61,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1996,3570
ToG,WebQTest-62,1,12,7,1,0.6006952439291239,0.8194745416862473,0.27791849848989614,0.8349066723878995,0.6363636363636364,0.5833333333333334,4,935,1351
ToG,WebQTest-63,1,6,4,1,0.6573259485750611,0.8407878865225435,0.3651498406400367,0.8647642679900744,0.6,0.6666666666666666,3,1887,3577
ToG,WebQTest-64,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,6139
ToG,WebQTest-65,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1943,4388
ToG,WebQTest-66,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1956,4297
ToG,WebQTest-67,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1596,2872
ToG,WebQTest-68,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,944,1520
ToG,WebQTest-69,1,6,3,1,0.6462448322182389,0.9378330373001776,0.3176511438454039,0.7692307692307692,0.4,0.5,3,563,841
ToG,WebQTest-71,0,6,3,1,0.6092930042812429,0.7184365770070068,0.3148316307226637,0.9615384615384616,0.4,0.5,2,881,2112
ToG,WebQTest-72,1,6,4,1,0.5877075977884407,0.5283126527422802,0.46350785040423786,0.903225806451613,0.6,0.6666666666666666,2,1261,3455
ToG,WebQTest-73,1,2,2,1,0.8659854118362244,0.8081632653061225,0.8411078717201166,1.0,1.0,1.0,2,49,56
ToG,WebQTest-74,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1867,3389
ToG,WebQTest-75,1,6,3,1,0.6609147960575783,0.9093723613847453,0.3677836459661264,0.7692307692307693,0.4,0.5,3,969,2399
ToG,WebQTest-76,1,6,4,1,0.559087484484553,0.453714132397318,0.47292274260879513,0.9032258064516129,0.6,0.6666666666666666,2,1943,3819
ToG,WebQTest-77,1,6,4,1,0.5766111977296235,0.8578472734832501,0.19964877069744102,0.8647642679900744,0.6,0.6666666666666666,3,1993,4688
ToG,WebQTest-78,1,6,3,1,0.7338234549858959,0.9092628682792617,0.4508992997600207,0.9230769230769231,0.4,0.5,3,1586,2851
ToG,WebQTest-79,1,6,4,1,0.5460749758924749,0.4847404670173009,0.4591175608326004,0.797962648556876,0.6,0.6666666666666666,2,1895,4323
ToG,WebQTest-80,1,15,5,1,0.5358671032524326,0.7833853974281926,0.16745721878914047,0.8818548387096775,0.35714285714285715,0.3333333333333333,3,1202,1935
ToG,WebQTest-82,1,6,4,1,0.7219211306216313,0.9501040041601664,0.4518131942208905,0.8064516129032258,0.6,0.6666666666666666,4,1923,4187
ToG,WebQTest-83,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1316,2882
ToG,WebQTest-84,1,6,4,1,0.6431964378666342,0.8614478686168724,0.3208629023963797,0.8647642679900744,0.6,0.6666666666666666,3,1389,4941
ToG,WebQTest-85,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1794,4201
ToG,WebQTest-86,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1382,2372
ToG,WebQTest-87,1,4,3,1,0.7285793533782836,0.9643400188255737,0.4292507677171223,0.8571428571428572,0.6666666666666666,0.75,3,1973,3356
ToG,WebQTest-88,1,6,4,1,0.7358480475082672,0.8684859623715112,0.520721923977546,0.8647642679900744,0.6,0.6666666666666666,3,1928,3516
ToG,WebQTest-89,1,18,7,1,0.5698664028214357,0.8795825937783526,0.1882031757031757,0.8311045390253311,0.35294117647058826,0.3888888888888889,5,520,1173
ToG,WebQTest-90,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1121,1994
