<<<<<<< HEAD
agent,n_att,n_val,hits_all,hits_all_lo,hits_all_hi,hits_val,hits_val_lo,hits_val_hi,agee,agee_lo,agee_hi,S,S_lo,S_hi,I,I_lo,I_hi,E,E_lo,E_hi
llm_react,200,81,0.37,0.30296982427123703,0.4409464847848315,0.7530864197530864,0.6447397895581862,0.8421913831723888,0.5120246702359472,0.4644277306853247,0.5661419878976633,0.2088371329046741,0.12913558817715734,0.287965930570733,0.9016055646779078,0.8783940718765477,0.9223511964964913,0.9911816578483246,0.9823633156966491,0.998236331569665
bfs,200,200,0.135,0.09088710175486894,0.19030917268339848,0.135,0.09088710175486894,0.19030917268339848,0.6241982825257215,0.6073422338782496,0.641705766545722,0.554183059954656,0.5276254970072606,0.5825864868114192,0.5662851400873012,0.5425106087798399,0.587984679132109,0.8760323300472318,0.8682151149260503,0.8841391513802962
greedy,200,200,0.065,0.03506070865698193,0.10858723650381785,0.065,0.03506070865698193,0.10858723650381785,0.6803850038224968,0.6639466444689931,0.696575099482407,0.8024220300911216,0.7804103464634622,0.8246218244898552,0.42844695097099217,0.405497925304459,0.44964007716311044,0.9205037542142717,0.914016463491399,0.9263196164431485
random_walk,200,200,0.0,0.0,0.018275340355148804,0.0,0.0,0.018275340355148804,0.5013188302201408,0.4773587428543479,0.5226560294509073,0.46679960253286873,0.4290918551164074,0.5064121592654216,0.38537500150344195,0.36835642147491826,0.402280541074794,0.858437623986623,0.846153296794653,0.8695752866043674
=======
agent,n_att,n_val,hits_all,hits_all_lo,hits_all_hi,hits_val,hits_val_lo,hits_val_hi,agee,agee_lo,agee_hi,S,S_lo,S_hi,I,I_lo,I_hi,E,E_lo,E_hi
llm_react,200,81,0.37,0.302969824271237,0.44094648478483156,0.7530864197530864,0.6447397895581861,0.8421913831723887,0.5120246702359472,0.4644277306853247,0.5661419878976633,0.2088371329046741,0.12913558817715734,0.287965930570733,0.9016055646779078,0.8783940718765477,0.9223511964964913,0.9911816578483246,0.9823633156966491,0.998236331569665
bfs,200,200,0.135,0.09088710175486894,0.1903091726833983,0.135,0.09088710175486894,0.1903091726833983,0.6241982825257215,0.6073422338782496,0.641705766545722,0.554183059954656,0.5276254970072606,0.5825864868114192,0.5662851400873012,0.5425106087798399,0.587984679132109,0.8760323300472318,0.8682151149260503,0.8841391513802962
greedy,200,200,0.065,0.03506070865698193,0.10858723650381787,0.065,0.03506070865698193,0.10858723650381787,0.6803850038224968,0.6639466444689931,0.696575099482407,0.8024220300911216,0.7804103464634622,0.8246218244898552,0.42844695097099217,0.405497925304459,0.44964007716311044,0.9205037542142717,0.914016463491399,0.9263196164431485
random_walk,200,200,0.0,0.0,0.018275340355148807,0.0,0.0,0.018275340355148807,0.5013188302201408,0.4773587428543479,0.5226560294509073,0.46679960253286873,0.4290918551164074,0.5064121592654216,0.38537500150344195,0.36835642147491826,0.402280541074794,0.858437623986623,0.846153296794653,0.8695752866043674
>>>>>>> ee75ed4bd00f2a7e1791cc7bf4c8e28871e4e378
