topology,n,trial,n_nodes,n_edges,traj_length,t_graph_gen_s,t_trajectory_s,t_agee_init_s,t_agee_compute_s,t_total_s,mem_delta_gb,agee,S,I,E
BA,1000000,0,1000000,2999991,2000,11.743817329406738,0.05082225799560547,2961.926509618759,0.040126800537109375,2974.066519021988,0.768282624,0.7600226338613009,0.6774006221447819,0.7653557544399913,0.894002164237559
ER,1000000,0,1000000,3001478,2000,9.239616632461548,0.038533926010131836,2919.064442396164,0.01597309112548828,2928.6895990371704,0.858779648,0.6741375352318901,0.4189943336594419,0.8261708168735455,0.9526612314125222
WS,1000000,0,1000000,3000000,2000,5.54238748550415,0.015731096267700195,5910.644712924957,0.015744447708129883,5916.438938379288,0.767676416,0.639075099953647,0.8075278982635735,0.3905263757482147,0.7832187748786203
