<<<<<<< HEAD
qi,agent,T,K_louv,K_leid,agee_louv,agee_leid,S_louv,S_leid,I_louv,I_leid,E_louv,E_leid
0,bfs,10,2,2,0.4389911446522801,0.4389911446522801,0.28335629567387227,0.28335629567387227,0.3620375948237394,0.3620375948237394,0.9142857142857143,0.9142857142857143
0,greedy,10,2,2,0.49649895807661415,0.49649895807661415,0.503639881770963,0.503639881770963,0.2732571954484605,0.2732571954484605,0.9047619047619049,0.9047619047619049
0,random_walk,10,2,2,0.2100456306344407,0.2100456306344407,0.006944444444444444,0.006944444444444444,0.26643518518518516,0.26643518518518516,0.9036144578313252,0.9036144578313252
1,bfs,10,4,5,0.6569200349480357,0.6807537910290794,0.7512260912211869,0.8009808729769495,0.40937523033323153,0.40937523033323153,0.9206349206349207,0.945945945945946
1,greedy,10,4,5,0.636380074477751,0.6545522346486179,0.7509808729769495,0.8007846983815596,0.3618121519786338,0.3618121519786338,0.9259816207184628,0.9259816207184628
1,random_walk,10,4,5,0.21021905083020867,0.21021905083020867,0.0006130456105934281,0.0004904364884747424,0.2662988393003106,0.2662988393003106,0.9054054054054053,0.9054054054054053
2,bfs,10,13,18,0.7319923238963424,0.7187291809164555,0.6373985629361952,0.6066947453304408,0.7806265244513366,0.7806265244513366,0.8243243243243243,0.8243243243243243
2,greedy,10,13,18,0.7826451453369421,0.7786077100175722,0.9025914614285778,0.8917705861846225,0.575116064119112,0.575116064119112,0.9156626506024096,0.9156626506024097
2,random_walk,10,13,18,0.510240002383031,0.499440215194208,0.5023314054561364,0.4757597216018003,0.37131473920533636,0.37131473920533636,0.7571428571428571,0.7571428571428571
3,bfs,10,6,6,0.5924428552561252,0.5924428552561252,0.563779639553243,0.563779639553243,0.4620388048862692,0.4620388048862692,0.8571428571428572,0.8571428571428572
3,greedy,10,6,6,0.6813152233068462,0.6813152233068462,0.832212394459446,0.832212394459446,0.39490688634454774,0.39490688634454774,0.9259816207184628,0.9259816207184628
3,random_walk,10,6,6,0.49418332943072524,0.49418332943072524,0.4804730134558228,0.4804730134558228,0.28827592631407345,0.28827592631407345,0.9047619047619049,0.9047619047619049
4,bfs,10,2,2,0.4772673832811125,0.4772673832811125,0.3001913125088891,0.3001913125088891,0.47111169072862624,0.47111169072862624,0.8571428571428572,0.8571428571428572
4,greedy,10,2,2,0.5015337185814266,0.5015337185814266,0.5154243935554748,0.5154243935554748,0.27403958944281526,0.27403958944281526,0.9047619047619048,0.9047619047619048
4,random_walk,10,2,2,0.20644681008809415,0.20644681008809415,0.008522727272727272,0.008522727272727272,0.22732954545454548,0.22732954545454548,0.98,0.98
5,bfs,10,8,8,0.6807695571757817,0.6807695571757817,0.7105579420494709,0.710557942049471,0.5368877462047246,0.5368877462047246,0.8571428571428572,0.8571428571428572
5,greedy,10,8,8,0.6299227586058123,0.6299227586058123,0.8257159516537662,0.8257159516537663,0.2998652272027086,0.2998652272027086,0.9104308390022675,0.9104308390022675
5,random_walk,10,8,8,0.21877573929544797,0.21877573929544797,0.000198143115942029,0.000198143115942029,0.2830597005504217,0.2830597005504217,0.9333333333333332,0.9333333333333332
6,bfs,10,45,44,0.5439755956959087,0.5614636785284081,0.39538952343235767,0.3968095265368702,0.6057449801607601,0.6057449801607601,0.7301587301587302,0.8095238095238095
6,greedy,10,45,44,0.783128659981293,0.7763375687849353,0.977791347771807,0.9588716384997676,0.467903835498982,0.467903835498982,1.0,1.0
6,random_walk,10,45,44,0.6075323651380456,0.63369359309421,0.4716328077776587,0.554280108223017,0.6327667777981116,0.6327667777981116,0.8195918367346939,0.7732426303854876
7,bfs,10,3,3,0.569740109093488,0.569740109093488,0.6530419227248685,0.6530419227248685,0.29216581403750014,0.29216581403750014,0.94,0.94
7,greedy,10,3,3,0.5107580304879351,0.5107580304879351,0.5430473576615994,0.5430473576615994,0.27072384137601524,0.27072384137601524,0.9047619047619049,0.9047619047619049
7,random_walk,10,3,3,0.19015732421368753,0.19015732421368753,0.005494505494505493,0.005494505494505493,0.17417582417582417,0.17417582417582417,1.0,1.0
8,bfs,10,7,7,0.5066403120870666,0.5066403120870666,0.38504729534626314,0.3850472953462632,0.4283036766749949,0.4283036766749949,0.8799999999999999,0.8799999999999999
8,greedy,10,7,7,0.6246571328984171,0.6246571328984171,0.8433656165322005,0.8433656165322005,0.2928421783721783,0.2928421783721783,0.8731829573934837,0.8731829573934837
8,random_walk,10,7,7,0.21792329264915528,0.21792329264915528,0.00023952095808383222,0.00023952095808383222,0.2802934131736527,0.2802934131736527,0.9333333333333333,0.9333333333333333
9,bfs,10,3,4,0.5591762246782662,0.6292653581010071,0.45322258189563247,0.59457393804909,0.54211502688688,0.54211502688688,0.78,0.8253968253968255
9,greedy,10,3,4,0.5139794198007043,0.5073820615480276,0.5320039456280884,0.515302819641055,0.28659731284592144,0.28659731284592144,0.9047619047619049,0.9047619047619048
9,random_walk,10,3,4,0.5817811051908355,0.6486485673580634,0.5795805702237006,0.7515232292460016,0.45258458879570257,0.45258458879570257,0.7939849624060151,0.796842105263158
10,bfs,10,39,38,0.7823465769245699,0.7830212960983608,0.8431775793251047,0.8891153222146452,0.6307949951777206,0.6307949951777206,0.9156626506024097,0.8444444444444444
10,greedy,10,39,38,0.825947425959014,0.7855951228061866,0.9743741861682056,0.9273318987224224,0.5688388519724965,0.5688388519724965,1.0,0.9
10,random_walk,10,39,38,0.6595689600494727,0.6535392498346824,0.6469267217052733,0.6490456981136642,0.5296064635295173,0.5296064635295173,0.888888888888889,0.8571428571428572
