llm,source,n,memory_rate,memory_rate_lo,memory_rate_hi,hits_overall,hits_overall_lo,hits_overall_hi,agee_traversal,agee_lo,agee_hi,S_traversal,S_lo,S_hi,I_traversal,I_lo,I_hi,E_traversal,E_lo,E_hi
Qwen-2.5-7B,measured,196,0.6122448979591837,0.5402018270214882,0.6808378919268636,0.3979591836734694,0.328899659007647,0.4701544988891357,0.5937553753963529,0.5685454325997448,0.6188909424514469,0.6269564240842641,0.5677962052881068,0.6867599884486009,0.398387773707014,0.3663209579573573,0.4315681441783069,0.9611177946283864,0.9453679150119506,0.9748888407164842
Llama-3.1-8B,measured,196,0.05102040816326531,0.024734210129354943,0.09182485335851696,0.4489795918367347,0.37804189707210323,0.5214840678338615,0.480886837685891,0.4634003106796976,0.49841869952539536,0.4969160277662515,0.4616051331836136,0.529989018214061,0.29076667831118475,0.26580296904427836,0.3190558807082425,0.9037269310614441,0.8904439739789702,0.9167581581871913
Mistral-7B-v0.3,measured,196,0.11224489795918367,0.07169471153332199,0.1649984924841316,0.5969387755102041,0.5246788279990159,0.6662200028595611,0.48665265650333367,0.4615505684470184,0.5115090711323381,0.3606895442718226,0.32169713094441116,0.4002307268751258,0.45455732015740613,0.412724858384742,0.5008988105500782,0.9696394291762798,0.9597426922686454,0.9785179103746742
Qwen-2.5-14B,estimated,196,0.5102040816326531,0.4379800116913938,0.5821148644567857,0.4693877551020408,0.397905548847428,0.5418098914980506,0.6129864313603046,0.597332863520117,0.6303825659396409,0.6888397507610621,0.646509514762244,0.731737707813839,0.3663158377440019,0.3421318586148282,0.3911762548356891,0.9611200055314308,0.9486166082279244,0.9722226992011742
GPT-4o-mini,estimated,196,0.2551020408163265,0.1956568217632876,0.3221142677054591,0.7602040816326531,0.6941882438637078,0.8181716370649617,0.6003773686122957,0.5843005485797184,0.6157470351663478,0.7050227257261515,0.666826272984481,0.7423068707263868,0.3330425782414259,0.3142999503670001,0.3505807023796958,0.952414785002543,0.9402533594629836,0.9628215080724278
